"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"118","2004-026","SGBreyer",0.061876402,1,-1.182,-1.845581532,-2.86776948,"03-1395","69","45","1446","1399"
"119","2004-026","JPStevens",0.550261308,1,-2.522,2.728563547,-5.852212906,"03-1395","69","45","1446","1399"
"120","2004-026","AScalia",-0.173922567,1,2.725,3.741204023,-1.702604294,"03-1395","69","45","1446","1399"
"121","2004-026","RBGinsburg",-1.782948285,1,-1.697,-4.664474487,-2.752405167,"03-1395","69","45","1446","1399"
"122","2004-026","AMKennedy",0.031013499,1,0.534,1.623931885,-2.051281929,"03-1395","69","45","1446","1399"
"123","2004-027","AMKennedy",0.7589587,0,0.534,0.29026556,2.230088472,"03-9168",NA,NA,NA,NA
"124","2004-027","SDOConnor",0.327096464,0,0.084,2.345685482,3.670188427,"03-9168",NA,NA,NA,NA
"125","2004-027","SGBreyer",0.568752328,0,-1.182,-0.597811699,1.272103071,"03-9168",NA,NA,NA,NA
"126","2004-027","DHSouter",0.354124763,1,-1.698,2.611434937,-0.314990044,"03-9168",NA,NA,NA,NA
"127","2004-027","JPStevens",-0.330500101,1,-2.522,-0.406789541,-1.173544049,"03-9168",NA,NA,NA,NA
"128","2004-028","RBGinsburg",-0.590289357,1,-1.697,-0.867352486,-0.141196966,"03-184","91","74","2629","2263"
"129","2004-028","RBGinsburg",-0.590289357,1,-1.697,-0.867352486,-0.141196966,"03-184","91","74","2629","2263"
"130","2004-028","SGBreyer",-0.485320967,1,-1.182,3.125,2.644230843,"03-184","91","74","2629","2263"
"131","2004-028","SGBreyer",-0.485320967,1,-1.182,3.125,2.644230843,"03-184","91","74","2629","2263"
"132","2004-028","SDOConnor",-1.313555916,1,0.084,-0.75310564,-2.492235661,"03-184","91","74","2629","2263"
"133","2004-028","SDOConnor",-1.313555916,1,0.084,-0.75310564,-2.492235661,"03-184","91","74","2629","2263"
"134","2004-028","DHSouter",-0.34504317,1,-1.698,-2.213717937,-3.653585911,"03-184","91","74","2629","2263"
"135","2004-028","DHSouter",-0.34504317,1,-1.698,-2.213717937,-3.653585911,"03-184","91","74","2629","2263"
"136","2004-028","AMKennedy",-0.241818988,1,0.534,1.778015614,0.333006144,"03-184","91","74","2629","2263"
"137","2004-028","AMKennedy",-0.241818988,1,0.534,1.778015614,0.333006144,"03-184","91","74","2629","2263"
"138","2004-028","AScalia",-0.961237361,1,2.725,-0.30100441,-0.268835783,"03-184","91","74","2629","2263"
"139","2004-028","AScalia",-0.961237361,1,2.725,-0.30100441,-0.268835783,"03-184","91","74","2629","2263"
"140","2004-029","JPStevens",-1.628041552,0,-2.522,4.597701073,5.172413826,"03-287","63","53","1650","2296"
"141","2004-029","RBGinsburg",0.571999194,0,-1.697,0.710201263,-0.724036098,"03-287","63","53","1650","2296"
"142","2004-029","AMKennedy",0.171465545,0,0.534,4.927006721,4.927006721,"03-287","63","53","1650","2296"
"143","2004-029","SGBreyer",0.523216605,0,-1.182,-1.08183527,0.944788218,"03-287","63","53","1650","2296"
"144","2004-029","AScalia",0.311764623,0,2.725,-0.654625893,2.037319183,"03-287","63","53","1650","2296"
"145","2004-029","DHSouter",-0.703302392,0,-1.698,1.58883357,0.135344982,"03-287","63","53","1650","2296"
"146","2004-030","AMKennedy",-1.568467595,1,0.534,1.872329712,1.724051237,"03-1423","47","68","1207","2080"
"147","2004-030","SGBreyer",-9.428260801,1,-1.182,-0.738437414,2.861854792,"03-1423","47","68","1207","2080"
"148","2004-030","SDOConnor",0.7049566,1,0.084,-2.98507452,1.236673832,"03-1423","47","68","1207","2080"
"149","2004-030","AScalia",-0.914809947,1,2.725,-0.422647715,0.251196146,"03-1423","47","68","1207","2080"
"150","2004-030","RBGinsburg",0.087305538,1,-1.697,-1.997502804,-2.927590609,"03-1423","47","68","1207","2080"
"151","2004-031","DHSouter",-0.384591891,1,-1.698,3.823529243,-1.818181872,"03-1601","53","56","1552","1121"
"152","2004-031","JPStevens",-0.021570856,1,-2.522,0,1.754068613,"03-1601","53","56","1552","1121"
"153","2004-031","AMKennedy",0.617310512,1,0.534,-2.633304119,1.272945881,"03-1601","53","56","1552","1121"
"154","2004-031","AScalia",0.008448588,1,2.725,0.784615517,-0.591479301,"03-1601","53","56","1552","1121"
"155","2004-031","SGBreyer",0.789307889,1,-1.182,1.71399188,-1.367082119,"03-1601","53","56","1552","1121"
"156","2004-031","RBGinsburg",-0.927794109,1,-1.697,0.235856056,-0.036623478,"03-1601","53","56","1552","1121"
"157","2004-032","RBGinsburg",0.592129846,0,-1.697,2.069214821,0.729897738,"03-1039","30","49","981","1994"
"158","2004-032","SDOConnor",-0.364512109,1,0.084,7.801418304,4.964539051,"03-1039","30","49","981","1994"
