,caseId,justiceName,petac,respac,sgpetac,sgrespac,justiceMQ,petNumStat,respNumStat,lowerConservative,lowerConXjusticeMQ,unpleasantDiff_totalWords,pleasantDiff_totalWords,questionDifference,petVote
1848,2008-080,JPStevens,1,3,0,0,-2.545,5,3,0,0,0,0,0,0
1849,2007-060,JGRoberts,3,9,0,1,1.616,7,3,0,0,2.352941275,2.072829247,-3,0
1850,2007-021,JGRoberts,2,2,0,0,1.616,6,3,0,0,2.730009317,-1.810568333,-2,0
1851,2007-021,AMKennedy,2,2,0,0,0.342,6,3,0,0,-2.941176414,-2.941176414,-4,0
1852,2008-080,SAAlito,1,3,0,0,1.898,5,3,0,0,0,0,0,1
1853,2006-043,SAAlito,1,3,0,0,1.608,3,3,0,0,1.723435283,2.620087385,6,0
1854,2005-006,JGRoberts,0,0,0,0,1.568,10,3,0,0,-0.515855789,-1.312668562,4,1
1855,2006-010,SGBreyer,1,1,0,0,-1.478,6,3,0,0,-3.354066372,-1.490110636,12,1
1856,2005-005,AScalia,0,2,0,0,2.72,6,3,0,0,-0.330583334,-0.330583334,9,0
1857,2005-005,SGBreyer,0,2,0,0,-1.4,6,3,0,0,-6.561425209,-0.125480652,-19,0
1858,2007-021,CThomas,2,2,0,0,4.372,6,3,0,0,0,0,0,1
1859,2005-005,JGRoberts,0,2,0,0,1.568,6,3,0,0,-0.721615791,0.261662006,10,0
1860,2005-006,CThomas,0,0,0,0,4.341,10,3,0,0,0,0,0,1
1861,2008-080,DHSouter,1,3,0,0,-1.506,5,3,0,0,0,0,0,0
1862,2005-040,AMKennedy,6,3,0,0,0.441,6,3,0,0,-1.818181872,-3.636363745,-6,1
1863,2005-006,AMKennedy,0,0,0,0,0.441,10,3,0,0,-0.441808939,4.034414768,6,1
1864,2008-017,SAAlito,0,3,0,0,1.898,3,6,0,0,8.163265228,0,3,0
1865,2008-017,JGRoberts,0,3,0,0,1.699,3,6,0,0,-3.025372505,0.070785046,6,0
1866,2008-017,CThomas,0,3,0,0,4.274,3,6,0,0,0,0,0,0
1867,2005-054,RBGinsburg,1,9,0,1,-1.467,3,6,1,-1.467000008,-2.037960052,3.191985607,6,0
1868,2008-017,AMKennedy,0,3,0,0,0.588,3,6,0,0,-6.116504669,-7.087378502,5,0
1869,2008-017,AScalia,0,3,0,0,2.736,3,6,0,0,2.83616066,-0.778483868,-24,0
1870,2005-054,JGRoberts,1,9,0,1,1.568,3,6,1,1.567999959,0.748394012,-0.777068138,-10,0
1871,2005-054,AScalia,1,9,0,1,2.72,3,6,1,2.720000029,-2.150928497,-0.015295506,-3,0
1872,2008-017,JPStevens,0,3,0,0,-2.545,3,6,0,0,0,0,0,0
1873,2008-017,DHSouter,0,3,0,0,-1.506,3,6,0,0,4.567307472,2.804487228,1,0
1874,2008-017,RBGinsburg,0,3,0,0,-1.65,3,6,0,0,-2.190476179,1.238095284,1,0
1875,2008-017,SGBreyer,0,3,0,0,-1.11,3,6,0,0,1.858638763,-2.664921522,-16,0
1876,2005-054,DHSouter,1,9,0,1,-1.587,3,6,1,-1.587000012,0.766669989,-0.177391052,14,0
1877,2005-054,CThomas,1,9,0,1,4.341,3,6,1,4.34100008,0,0,0,0
1878,2005-054,SGBreyer,1,9,0,1,-1.4,3,6,1,-1.399999976,0.266427279,0.737300873,8,0
1879,2005-054,SAAlito,1,9,0,1,1.584,3,6,1,1.583999991,0,0,0,0
1880,2005-054,AMKennedy,1,9,0,1,0.441,3,6,1,0.441000015,1.369381905,-3.043071032,-3,0
1881,2005-054,JPStevens,1,9,0,1,-2.418,3,6,1,-2.417999983,-5.29801321,-4.635761738,-6,0
1882,2006-062,SGBreyer,2,3,1,0,-1.478,9,6,0,0,1.805949688,-0.153474092,-15,0
1883,2006-023,AMKennedy,2,1,0,0,0.435,7,6,1,0.435000002,0.764470339,-3.12259841,3,1
1884,2006-062,AScalia,2,3,1,0,2.797,9,6,0,0,0.769295216,-2.349924326,9,1
1885,2006-062,JPStevens,2,3,1,0,-2.437,9,6,0,0,1.502209187,2.297496319,1,0
1886,2006-062,AMKennedy,2,3,1,0,0.435,9,6,0,0,2.781577587,-2.690378189,1,1
1887,2006-062,DHSouter,2,3,1,0,-1.465,9,6,0,0,1.056048393,-1.491617203,2,1
1888,2006-062,RBGinsburg,2,3,1,0,-1.577,9,6,0,0,0.739294291,-0.753243208,8,1
1889,2006-062,CThomas,2,3,1,0,4.396,9,6,0,0,0,0,0,1
1890,2006-062,SAAlito,2,3,1,0,1.608,9,6,0,0,-4.8034935,-3.493449688,-7,1
1891,2006-023,SGBreyer,2,1,0,0,-1.478,7,6,1,-1.478000045,-0.321962833,0.809578896,-17,1
1892,2006-023,AScalia,2,1,0,0,2.797,7,6,1,2.796999931,-16.66666603,0,-1,1
1893,2006-023,CThomas,2,1,0,0,4.396,7,6,1,4.395999908,0,0,0,1
1894,2006-023,RBGinsburg,2,1,0,0,-1.577,7,6,1,-1.577000022,2.801724195,-2.514367819,4,1
1895,2006-062,JGRoberts,2,3,1,0,1.607,9,6,0,0,-1.990176201,-0.474254847,4,1
1896,2006-023,JPStevens,2,1,0,0,-2.437,7,6,1,-2.437000036,-3.833672047,0.408960104,3,1
1897,2006-023,DHSouter,2,1,0,0,-1.465,7,6,1,-1.465000033,1.488701344,-0.751624465,12,1
1898,2006-023,SAAlito,2,1,0,0,1.608,7,6,1,1.60800004,0,0,0,1
1899,2006-023,JGRoberts,2,1,0,0,1.607,7,6,1,1.606999993,-1.408564806,-0.089303732,-11,1
1900,2008-027,RBGinsburg,2,2,0,0,-1.65,10,4,0,0,1.224223852,1.638504863,4,0
1901,2008-040,DHSouter,8,9,0,0,-1.506,6,4,0,0,0.272049189,-2.751206398,-3,0
1902,2008-077,AScalia,7,5,0,0,2.736,6,4,0,0,-0.081632614,0.214285731,-11,1
1903,2008-027,SGBreyer,2,2,0,0,-1.11,10,4,0,0,-0.859936237,-1.488169312,9,0
1904,2008-040,RBGinsburg,8,9,0,0,-1.65,6,4,0,0,2.48756218,1.99004972,5,0
1905,2006-072,DHSouter,21,3,0,0,-1.465,10,4,0,0,-0.243348598,-0.803049803,9,0
1906,2008-003,JPStevens,5,2,0,0,-2.545,10,4,0,0,3.52422905,0.440528631,8,0
1907,2008-003,DHSouter,5,2,0,0,-1.506,10,4,0,0,4.550758362,1.750291705,25,0
1908,2008-027,AScalia,2,2,0,0,2.736,10,4,0,0,-0.939221144,-0.793048263,-3,1
1909,2006-072,JPStevens,21,3,0,0,-2.437,10,4,0,0,-2.855478048,-4.965034485,8,0
1910,2006-072,CThomas,21,3,0,0,4.396,10,4,0,0,0,0,0,1
1911,2008-040,AScalia,8,9,0,0,2.736,6,4,0,0,-0.317705154,1.075052261,-2,1
1912,2008-003,CThomas,5,2,0,0,4.274,10,4,0,0,0,0,0,1
1913,2006-072,RBGinsburg,21,3,0,0,-1.577,10,4,0,0,0.892857134,3.125,6,0
1914,2008-077,AMKennedy,7,5,0,0,0.588,6,4,0,0,-0.175043583,-2.325581312,-3,1
1915,2008-077,DHSouter,7,5,0,0,-1.506,6,4,0,0,5.5934515,3.410641193,15,0
1916,2008-027,CThomas,2,2,0,0,4.274,10,4,0,0,0,0,0,1
